API, Freq
kerasapplicationsResNet152V2,1
kerasapplicationsInceptionV3,0
kerasapplicationsInceptionResNetV2,0
kerasapplicationsNASNetLarge,0
kerasapplicationsResNet101,2
kerasapplicationsMobileNetV2,7
kerasapplicationsMobileNet,7
kerasapplicationsNASNetMobile,0
kerasapplicationsResNet101V2,1
kerasactivationssoftplus,2
kerasapplicationsDenseNet121,2
kerasactivationssoftsign,2
kerasactivationstanh,22
kerasapplicationsDenseNet201,0
kerasapplicationsDenseNet169,0
kerasactivationssigmoid,7
kerasactivationsselu,2
kerasactivationshard_sigmoid,2
kerasactivationsrelu,53
kerasactivationssoftmax,30
kerasactivationsserialize,24
kerasactivationslinear,19
kerasactivationsget,39
kerasInput,236
kerasactivationsdeserialize,2
kerasactivationsexponential,0
kerasModel,947
kerasactivationselu,2
kerasSequential,582
iogfilelistdir,144
iogfilestat,2
iogfilerename,15
iogfileremove,5
iogfilemkdir,7
iogfilermtree,38
iogfilewalk,12
iogfilemakedirs,187
iogfileisdir,38
iogfileglob,67
iogfileGFile,544
iogfilecopy,33
iogfileexists,354
ioSparseFeature,0
ioTFRecordOptions,59
ioVarLenFeature,71
iowrite_graph,30
iowrite_file,4
ioserialize_sparse,0
ioserialize_tensor,1
ioTFRecordWriter,477
ioRaggedFeatureRowLengths,0
ioRaggedFeatureValueRowIds,0
ioRaggedFeatureRowSplits,0
ioread_file,85
ioserialize_many_sparse,0
ioRaggedFeatureRowLimits,0
ioRaggedFeatureRowStarts,0
ioRaggedFeatureUniformRowLength,0
ioRaggedFeature,0
ioparse_tensor,2
ioparse_single_sequence_example,2
