Name,Stars,Forks,Months,TF_version,Torch_version,Np_version
FilippoBovo/robustats,20.0,4.0,12.0,none,none,numpy==1.17.0
SkafteNicki/libcpab,20.0,3.0,24.0,none,none,none
ASPP/ASPP-2018-numpy,19.0,12.0,24.0,none,none,none
architsharma97/VideoSummarization,19.0,14.0,48.0,none,none,none
MichaelAquilina/hashedindex,19.0,8.0,60.0,none,none,none
sniklaus/teaching-vision,19.0,2.0,36.0,none,none,none
rougier/CNCC-2019,19.0,4.0,12.0,none,none,none
icmc-data/Turma-Introducao-2019.1,19.0,4.0,12.0,none,none,none
douglasdavis/pygram11,19.0,1.0,12.0,none,none,none
powellb/seapy,18.0,12.0,60.0,none,none,none
dbrrt/jp2-python,18.0,7.0,36.0,none,none,none
ellisdg/frangi3d,18.0,18.0,48.0,none,none,none
aestimosolver/aestimo,18.0,9.0,36.0,none,none,none
bshillingford/python-sharearray,18.0,1.0,36.0,none,none,none
stanfortonski/Perlin-Noise-3D-Voxel-Generator,18.0,0.0,0.0,none,none,none
SishaarRao/PageRank,18.0,2.0,36.0,none,none,numpy==1.12.1
rohintangirala/eulerian-remote-heartrate-detection,18.0,12.0,24.0,none,none,none
srp98/Movie-Recommender-using-RBM,18.0,18.0,24.0,none,none,none
slalit360/Data-Science-ML-Cheat-Sheet-Books-Oreilly-,18.0,17.0,24.0,none,none,none
